dt,value
2018-01-01T04:00:00Z,426.6
2018-01-01T04:30:00Z,427.400024
2018-01-01T05:00:00Z,425.8
2018-01-01T05:30:00Z,427.8
2018-01-01T06:00:00Z,428
2018-01-01T06:30:00Z,427.400024
2018-01-01T07:00:00Z,430.599976
2018-01-01T07:30:00Z,428.3
2018-01-01T08:00:00Z,429.3
2018-01-01T08:30:00Z,429.400024
2018-01-01T09:00:00Z,428
2018-01-01T09:30:00Z,425.3
2018-01-01T10:00:00Z,429.8
2018-01-01T10:30:00Z,431.900024
2018-01-01T11:00:00Z,429
2018-01-01T11:30:00Z,429.900024
2018-01-01T12:00:00Z,429.4
2018-01-01T12:30:00Z,430.7
2018-01-01T13:00:00Z,425.400024
2018-01-01T13:30:00Z,426.900024
2018-01-01T14:00:00Z,422.3
2018-01-01T14:30:00Z,424.5
2018-01-01T15:00:00Z,423.400024
2018-01-01T15:30:00Z,421.2
2018-01-01T16:00:00Z,419.900024
2018-01-01T16:30:00Z,419.8
2018-01-01T17:00:00Z,416.400024
2018-01-01T17:30:00Z,412.900024
2018-01-01T18:00:00Z,413.599976
2018-01-01T18:30:00Z,414.400024
2018-01-01T19:00:00Z,413
2018-01-01T19:30:00Z,413.900024
2018-01-01T20:00:00Z,412.900024
2018-01-01T20:30:00Z,421
2018-01-01T21:00:00Z,425.599976
2018-01-01T21:30:00Z,426.4
2018-01-01T22:00:00Z,433.400024
2018-01-01T22:30:00Z,430
2018-01-01T23:00:00Z,424.900024
2018-01-01T23:30:00Z,416.5
2018-01-02T00:00:00Z,412.900024
2018-01-02T00:30:00Z,412.900024
2018-01-02T01:00:00Z,409.400024
2018-01-02T01:30:00Z,411.3
2018-01-02T02:00:00Z,413.400024
2018-01-02T02:30:00Z,408.3
2018-01-02T03:00:00Z,411
2018-01-02T03:30:00Z,410.400024
2018-01-02T04:00:00Z,411.4
2018-01-02T04:30:00Z,410.099976
2018-01-02T05:00:00Z,408.8
2018-01-02T05:30:00Z,412.5
2018-01-02T06:00:00Z,409
2018-01-02T06:30:00Z,409
2018-01-02T07:00:00Z,410.400024
2018-01-02T07:30:00Z,409.4
2018-01-02T08:00:00Z,409
2018-01-02T08:30:00Z,408.900024
2018-01-02T09:00:00Z,411.2
2018-01-02T09:30:00Z,415.400024
2018-01-02T10:00:00Z,416.2
2018-01-02T10:30:00Z,414.599976
2018-01-02T11:00:00Z,415.400024
2018-01-02T11:30:00Z,416.5
2018-01-02T12:00:00Z,414.900024
2018-01-02T12:30:00Z,412.8
2018-01-02T13:00:00Z,413.2
2018-01-02T13:30:00Z,415
2018-01-02T14:00:00Z,416
2018-01-02T14:30:00Z,418.400024
2018-01-02T15:00:00Z,418.3
2018-01-02T15:30:00Z,419.400024
2018-01-02T16:00:00Z,419.599976
2018-01-02T16:30:00Z,420.400024
2018-01-02T17:00:00Z,423.5
2018-01-02T17:30:00Z,423.900024
2018-01-02T18:00:00Z,421.900024
2018-01-02T18:30:00Z,428.099976
2018-01-02T19:00:00Z,432.900024
2018-01-02T19:30:00Z,432
2018-01-02T20:00:00Z,431.3
2018-01-02T20:30:00Z,427.400024
2018-01-02T21:00:00Z,428.400024
2018-01-02T21:30:00Z,431.400024
2018-01-02T22:00:00Z,429.900024
2018-01-02T22:30:00Z,422.900024
2018-01-02T23:00:00Z,420
2018-01-02T23:30:00Z,416.400024
2018-01-03T00:00:00Z,413.900024
2018-01-03T00:30:00Z,410.099976
2018-01-03T01:00:00Z,410.8
2018-01-03T01:30:00Z,411.099976
2018-01-03T02:00:00Z,413.099976
2018-01-03T02:30:00Z,414.599976
2018-01-03T03:00:00Z,414.44
2018-01-03T03:30:00Z,415.9
2018-01-03T04:00:00Z,417.099976
2018-01-03T04:30:00Z,418
2018-01-03T05:00:00Z,418
2018-01-03T05:30:00Z,418
2018-01-03T06:00:00Z,419
2018-01-03T06:30:00Z,419.8
2018-01-03T07:00:00Z,421
2018-01-03T07:30:00Z,419.8
2018-01-03T08:00:00Z,419.9
2018-01-03T08:30:00Z,420.4
2018-01-03T09:00:00Z,418.400024
2018-01-03T09:30:00Z,415.4
2018-01-03T10:00:00Z,417.5
2018-01-03T10:30:00Z,419.9
2018-01-03T11:00:00Z,419.8
2018-01-03T11:30:00Z,419
2018-01-03T12:00:00Z,420.400024
2018-01-03T12:30:00Z,423.099976
2018-01-03T13:00:00Z,423.5
2018-01-03T13:30:00Z,424
2018-01-03T14:00:00Z,429.8
2018-01-03T14:30:00Z,433.8
2018-01-03T15:00:00Z,436.900024
2018-01-03T15:30:00Z,442.5
2018-01-03T16:00:00Z,445.5
2018-01-03T16:30:00Z,449.400024
2018-01-03T17:00:00Z,454.9
2018-01-03T17:30:00Z,456.599976
2018-01-03T18:00:00Z,454.599976
2018-01-03T18:30:00Z,455.4
2018-01-03T19:00:00Z,458
2018-01-03T19:30:00Z,453.9
2018-01-03T20:00:00Z,458.3
2018-01-03T20:30:00Z,454.95
2018-01-03T21:00:00Z,451.5
2018-01-03T21:30:00Z,446.3
2018-01-03T22:00:00Z,443.5
2018-01-03T22:30:00Z,436
2018-01-03T23:00:00Z,430.400024
2018-01-03T23:30:00Z,425.900024
2018-01-04T00:00:00Z,419.900024
2018-01-04T00:30:00Z,417.975
2018-01-04T01:00:00Z,418
2018-01-04T01:30:00Z,422.8
2018-01-04T02:00:00Z,420.400024
2018-01-04T02:30:00Z,422.2
2018-01-04T03:00:00Z,425.5
2018-01-04T03:30:00Z,425.5
2018-01-04T04:00:00Z,424.900024
2018-01-04T04:30:00Z,422.900024
2018-01-04T05:00:00Z,423.400024
2018-01-04T05:30:00Z,421.400024
2018-01-04T06:00:00Z,422.099976
2018-01-04T06:30:00Z,419.599976
2018-01-04T07:00:00Z,417.099976
2018-01-04T07:30:00Z,413
2018-01-04T08:00:00Z,412.5
2018-01-04T08:30:00Z,412
2018-01-04T09:00:00Z,409.599976
2018-01-04T09:30:00Z,408.8
2018-01-04T10:00:00Z,411
2018-01-04T10:30:00Z,411.900024
2018-01-04T11:00:00Z,412.9
2018-01-04T11:30:00Z,412.400024
2018-01-04T12:00:00Z,413.3
2018-01-04T12:30:00Z,414.9
2018-01-04T13:00:00Z,415.900024
2018-01-04T13:30:00Z,416
2018-01-04T14:00:00Z,416.400024
2018-01-04T14:30:00Z,416.900024
2018-01-04T15:00:00Z,417
2018-01-04T15:30:00Z,416.9
2018-01-04T16:00:00Z,419.5
2018-01-04T16:30:00Z,420
2018-01-04T17:00:00Z,421.099976
2018-01-04T17:30:00Z,420.5
2018-01-04T18:00:00Z,420
2018-01-04T18:30:00Z,426.599976
2018-01-04T19:00:00Z,435.400024
2018-01-04T19:30:00Z,433.8
2018-01-04T20:00:00Z,432.900024
2018-01-04T20:30:00Z,430.400024
2018-01-04T21:00:00Z,430.4
2018-01-04T21:30:00Z,427.3
2018-01-04T22:00:00Z,418.4
2018-01-04T22:30:00Z,416.400024
2018-01-04T23:00:00Z,408.5
2018-01-04T23:30:00Z,406.5
2018-01-05T00:00:00Z,406
2018-01-05T00:30:00Z,407.8
2018-01-05T01:00:00Z,407.900024
2018-01-05T01:30:00Z,408.5
2018-01-05T02:00:00Z,408.8
2018-01-05T02:30:00Z,408.900024
2018-01-05T03:00:00Z,410
2018-01-05T03:30:00Z,410.599976
2018-01-05T04:00:00Z,412.400024
2018-01-05T04:30:00Z,414.400024
2018-01-05T05:00:00Z,415.599976
2018-01-05T05:30:00Z,417.400024
2018-01-05T06:00:00Z,420.4
2018-01-05T06:30:00Z,416.5
2018-01-05T07:00:00Z,416.4
2018-01-05T07:30:00Z,415.5
2018-01-05T08:00:00Z,415.9
2018-01-05T08:30:00Z,414.400024
2018-01-05T09:00:00Z,413.8
2018-01-05T09:30:00Z,411.900024
2018-01-05T10:00:00Z,411.5
2018-01-05T10:30:00Z,411.900024
2018-01-05T11:00:00Z,413.900024
2018-01-05T11:30:00Z,415.2
2018-01-05T12:00:00Z,414.4
2018-01-05T12:30:00Z,411.5
2018-01-05T13:00:00Z,413.900024
2018-01-05T13:30:00Z,413.9
2018-01-05T14:00:00Z,414.900024
2018-01-05T14:30:00Z,414.5
2018-01-05T15:00:00Z,428.3
2018-01-05T15:30:00Z,438.98
2018-01-05T16:00:00Z,437.400024
2018-01-05T16:30:00Z,435.900024
2018-01-05T17:00:00Z,441.599976
2018-01-05T17:30:00Z,437.3
2018-01-05T18:00:00Z,442.8
2018-01-05T18:30:00Z,441
2018-01-05T19:00:00Z,466.9
2018-01-05T19:30:00Z,467.3
2018-01-05T20:00:00Z,457.8
2018-01-05T20:30:00Z,457.9
2018-01-05T21:00:00Z,465.800018
2018-01-05T21:30:00Z,438.5
2018-01-05T22:00:00Z,428.900024
2018-01-05T22:30:00Z,416
2018-01-05T23:00:00Z,416.400024
2018-01-05T23:30:00Z,416.400024
2018-01-06T00:00:00Z,418.3
2018-01-06T00:30:00Z,417.5
2018-01-06T01:00:00Z,415.3
2018-01-06T01:30:00Z,416.400024
2018-01-06T02:00:00Z,413
2018-01-06T02:30:00Z,415.3
2018-01-06T03:00:00Z,414.4
2018-01-06T03:30:00Z,414
2018-01-06T04:00:00Z,414.8
2018-01-06T04:30:00Z,407.5
2018-01-06T05:00:00Z,406.3
2018-01-06T05:30:00Z,408.599976
2018-01-06T06:00:00Z,408.400024
2018-01-06T06:30:00Z,407.9
2018-01-06T07:00:00Z,406
2018-01-06T07:30:00Z,406.599976
2018-01-06T08:00:00Z,406.400024
2018-01-06T08:30:00Z,406.400024
2018-01-06T09:00:00Z,409.8
2018-01-06T09:30:00Z,407.5
2018-01-06T10:00:00Z,407.825
2018-01-06T10:30:00Z,413.5
2018-01-06T11:00:00Z,415
2018-01-06T11:30:00Z,414.900024
2018-01-06T12:00:00Z,415.900024
2018-01-06T12:30:00Z,419.099976
2018-01-06T13:00:00Z,416.900024
2018-01-06T13:30:00Z,416.099976
2018-01-06T14:00:00Z,416.5
2018-01-06T14:30:00Z,419
2018-01-06T15:00:00Z,414.900024
2018-01-06T15:30:00Z,416.400024
2018-01-06T16:00:00Z,410.599976
2018-01-06T16:30:00Z,413.900024
2018-01-06T17:00:00Z,410.4
2018-01-06T17:30:00Z,408.5
2018-01-06T18:00:00Z,406.400024
2018-01-06T18:30:00Z,407.6
2018-01-06T19:00:00Z,402
2018-01-06T19:30:00Z,404.9
