dt,value
2018-01-01T04:00:00Z,557.819946
2018-01-01T04:30:00Z,561.6227
2018-01-01T05:00:00Z,557.797668
2018-01-01T05:30:00Z,561.9805
2018-01-01T06:00:00Z,561.069
2018-01-01T06:30:00Z,564.525
2018-01-01T07:00:00Z,563.373
2018-01-01T07:30:00Z,567.8039
2018-01-01T08:00:00Z,568.9205
2018-01-01T08:30:00Z,566.829
2018-01-01T09:00:00Z,567.981
2018-01-01T09:30:00Z,569.133
2018-01-01T10:00:00Z,572.589
2018-01-01T10:30:00Z,572.589
2018-01-01T11:00:00Z,573.7295
2018-01-01T11:30:00Z,576.045
2018-01-01T12:00:00Z,571.437
2018-01-01T12:30:00Z,570.285
2018-01-01T13:00:00Z,565.2188
2018-01-01T13:30:00Z,565.677
2018-01-01T14:00:00Z,561.5753
2018-01-01T14:30:00Z,558.698
2018-01-01T15:00:00Z,551.853
2018-01-01T15:30:00Z,545.171
2018-01-01T16:00:00Z,542.637
2018-01-01T16:30:00Z,551.3893
2018-01-01T17:00:00Z,547.245
2018-01-01T17:30:00Z,544.9563
2018-01-01T18:00:00Z,546.2772
2018-01-01T18:30:00Z,541.485
2018-01-01T19:00:00Z,543.886963
2018-01-01T19:30:00Z,543.789
2018-01-01T20:00:00Z,545.1672
2018-01-01T20:30:00Z,548.9376
2018-01-01T21:00:00Z,550.701
2018-01-01T21:30:00Z,555.23645
2018-01-01T22:00:00Z,568.207336
2018-01-01T22:30:00Z,572.589
2018-01-01T23:00:00Z,558.84314
2018-01-01T23:30:00Z,549.549
2018-01-02T00:00:00Z,545.536865
2018-01-02T00:30:00Z,542.421448
2018-01-02T01:00:00Z,541.485
2018-01-02T01:30:00Z,543.789
2018-01-02T02:00:00Z,549.318
2018-01-02T02:30:00Z,550.701
2018-01-02T03:00:00Z,551.0643
2018-01-02T03:30:00Z,553.4806
2018-01-02T04:00:00Z,554.157
2018-01-02T04:30:00Z,552.5461
2018-01-02T05:00:00Z,553.2003
2018-01-02T05:30:00Z,553.7891
2018-01-02T06:00:00Z,553.005
2018-01-02T06:30:00Z,554.8011
2018-01-02T07:00:00Z,555.078
2018-01-02T07:30:00Z,554.615051
2018-01-02T08:00:00Z,555.309
2018-01-02T08:30:00Z,558.765
2018-01-02T09:00:00Z,555.5038
2018-01-02T09:30:00Z,559.3625
2018-01-02T10:00:00Z,558.765
2018-01-02T10:30:00Z,559.917
2018-01-02T11:00:00Z,558.3487
2018-01-02T11:30:00Z,558.995
2018-01-02T12:00:00Z,558.765
