dt,value
2018-01-01T04:00:00Z,8.379307
2018-01-01T04:30:00Z,9.375774
2018-01-01T05:00:00Z,8.766948
2018-01-01T05:30:00Z,8.905368
2018-01-01T06:00:00Z,8.298697
2018-01-01T06:30:00Z,9.1334
2018-01-01T07:00:00Z,8.599913
2018-01-01T07:30:00Z,9.309847
2018-01-01T08:00:00Z,8.490506
2018-01-01T08:30:00Z,9.884193
2018-01-01T09:00:00Z,8.661423
2018-01-01T09:30:00Z,9.050856
2018-01-01T10:00:00Z,8.425249
2018-01-01T10:30:00Z,9.462341
2018-01-01T11:00:00Z,8.690219
2018-01-01T11:30:00Z,7.95771
2018-01-01T12:00:00Z,9.009771
2018-01-01T12:30:00Z,8.411361
2018-01-01T13:00:00Z,8.924245
2018-01-01T13:30:00Z,8.391222
2018-01-01T14:00:00Z,8.930191
2018-01-01T14:30:00Z,8.230676
2018-01-01T15:00:00Z,9.182401
2018-01-01T15:30:00Z,8.225754
2018-01-01T16:00:00Z,8.891675
2018-01-01T16:30:00Z,8.334753
2018-01-01T17:00:00Z,8.932098
2018-01-01T17:30:00Z,8.369065
2018-01-01T18:00:00Z,8.96530151
2018-01-01T18:30:00Z,8.336497
2018-01-01T19:00:00Z,8.791384
2018-01-01T19:30:00Z,8.282074
2018-01-01T20:00:00Z,9.101301
2018-01-01T20:30:00Z,8.300467
2018-01-01T21:00:00Z,9.274217
2018-01-01T21:30:00Z,8.390064
2018-01-01T22:00:00Z,15.0497131
2018-01-01T22:30:00Z,14.6070814
2018-01-01T23:00:00Z,9.752468
2018-01-01T23:30:00Z,8.464384
2018-01-02T00:00:00Z,9.130576
2018-01-02T00:30:00Z,8.60357
2018-01-02T01:00:00Z,8.944065
2018-01-02T01:30:00Z,7.9975214
2018-01-02T02:00:00Z,8.835279
2018-01-02T02:30:00Z,8.069721
2018-01-02T03:00:00Z,9.16146851
2018-01-02T03:30:00Z,8.04996
2018-01-02T04:00:00Z,8.817437
2018-01-02T04:30:00Z,8.117686
2018-01-02T05:00:00Z,8.822088
2018-01-02T05:30:00Z,8.152901
2018-01-02T06:00:00Z,9.289976
2018-01-02T06:30:00Z,8.047371
2018-01-02T07:00:00Z,8.77436
2018-01-02T07:30:00Z,8.160838
2018-01-02T08:00:00Z,8.806688
2018-01-02T08:30:00Z,8.637794
2018-01-02T09:00:00Z,8.784146
2018-01-02T09:30:00Z,9.170263
2018-01-02T10:00:00Z,8.697959
2018-01-02T10:30:00Z,9.056065
2018-01-02T11:00:00Z,8.816338
2018-01-02T11:30:00Z,8.071318
2018-01-02T12:00:00Z,9.771245
2018-01-02T12:30:00Z,8.956747
2018-01-02T13:00:00Z,8.879128
2018-01-02T13:30:00Z,9.227545
2018-01-02T14:00:00Z,8.264286
2018-01-02T14:30:00Z,9.199136
2018-01-02T15:00:00Z,9.553484
2018-01-02T15:30:00Z,9.42734
2018-01-02T16:00:00Z,9.643782
2018-01-02T16:30:00Z,8.917238
2018-01-02T17:00:00Z,9.702161
2018-01-02T17:30:00Z,9.048138
2018-01-02T18:00:00Z,9.73636
2018-01-02T18:30:00Z,11.0506344
2018-01-02T19:00:00Z,10.5045061
2018-01-02T19:30:00Z,9.970242
2018-01-02T20:00:00Z,9.296551
2018-01-02T20:30:00Z,9.559802
2018-01-02T21:00:00Z,8.984388
2018-01-02T21:30:00Z,9.556254
2018-01-02T22:00:00Z,9.536903
2018-01-02T22:30:00Z,9.599173
2018-01-02T23:00:00Z,10.3413906
2018-01-02T23:30:00Z,10.7307377
2018-01-03T00:00:00Z,9.660047
2018-01-03T00:30:00Z,9.45967
2018-01-03T01:00:00Z,8.185382
2018-01-03T01:30:00Z,9.133523
2018-01-03T02:00:00Z,8.975009
2018-01-03T02:30:00Z,9.300741
2018-01-03T03:00:00Z,8.800888
2018-01-03T03:30:00Z,8.0869875
2018-01-03T04:00:00Z,8.883601
2018-01-03T04:30:00Z,8.184189
2018-01-03T05:00:00Z,8.894988
2018-01-03T05:30:00Z,8.126349
2018-01-03T06:00:00Z,9.775836
2018-01-03T06:30:00Z,8.233707
2018-01-03T07:00:00Z,9.67596
2018-01-03T07:30:00Z,8.292591
2018-01-03T08:00:00Z,10.1925182
2018-01-03T08:30:00Z,9.123675
2018-01-03T09:00:00Z,8.397347
2018-01-03T09:30:00Z,9.639778
2018-01-03T10:00:00Z,8.162506
2018-01-03T10:30:00Z,9.047906
2018-01-03T11:00:00Z,8.887018
2018-01-03T11:30:00Z,9.592493
2018-01-03T12:00:00Z,9.082963
2018-01-03T12:30:00Z,8.91072
2018-01-03T13:00:00Z,9.174463
2018-01-03T13:30:00Z,8.362957
2018-01-03T14:00:00Z,9.338742
2018-01-03T14:30:00Z,8.379221
2018-01-03T15:00:00Z,9.332042
2018-01-03T15:30:00Z,10.7856007
2018-01-03T16:00:00Z,8.48498
2018-01-03T16:30:00Z,11.0820293
2018-01-03T17:00:00Z,11.4454136
2018-01-03T17:30:00Z,9.34758949
2018-01-03T18:00:00Z,9.507417
2018-01-03T18:30:00Z,8.999425
2018-01-03T19:00:00Z,10.0079908
2018-01-03T19:30:00Z,9.327476
2018-01-03T20:00:00Z,9.853942
2018-01-03T20:30:00Z,8.836467
2018-01-03T21:00:00Z,9.513887
2018-01-03T21:30:00Z,8.962019
2018-01-03T22:00:00Z,10.5992794
