dt,value
2018-01-01T04:00:00Z,15.055
2018-01-01T04:30:00Z,15.085
2018-01-01T05:00:00Z,15.125
2018-01-01T05:30:00Z,15.205
2018-01-01T06:00:00Z,15.23
2018-01-01T06:30:00Z,15.26
2018-01-01T07:00:00Z,15.205
2018-01-01T07:30:00Z,15.2350006
2018-01-01T08:00:00Z,15.25
2018-01-01T08:30:00Z,15.26
2018-01-01T09:00:00Z,15.23
2018-01-01T09:30:00Z,15.2350006
2018-01-01T10:00:00Z,15.2350006
2018-01-01T10:30:00Z,15.18
2018-01-01T11:00:00Z,15.175
2018-01-01T11:30:00Z,15.1550007
2018-01-01T12:00:00Z,15.13
2018-01-01T12:30:00Z,14.965
2018-01-01T13:00:00Z,14.8
2018-01-01T13:30:00Z,14.645
2018-01-01T14:00:00Z,14.525
2018-01-01T14:30:00Z,14.48
2018-01-01T15:00:00Z,14.2199993
2018-01-01T15:30:00Z,14.095
2018-01-01T16:00:00Z,13.915
2018-01-01T16:30:00Z,13.7800007
2018-01-01T17:00:00Z,13.67
2018-01-01T17:30:00Z,13.6100006
2018-01-01T18:00:00Z,13.4349995
2018-01-01T18:30:00Z,13.41
2018-01-01T19:00:00Z,13.335
2018-01-01T19:30:00Z,13.285
2018-01-01T20:00:00Z,13.2800007
2018-01-01T20:30:00Z,13.465
2018-01-01T21:00:00Z,13.615
2018-01-01T21:30:00Z,13.6100006
2018-01-01T22:00:00Z,13.59
2018-01-01T22:30:00Z,13.51
2018-01-01T23:00:00Z,13.34
2018-01-01T23:30:00Z,13.1550007
2018-01-02T00:00:00Z,13.105
2018-01-02T00:30:00Z,13.005
2018-01-02T01:00:00Z,13.01
2018-01-02T01:30:00Z,13.01
2018-01-02T02:00:00Z,13.18
2018-01-02T02:30:00Z,13.385
2018-01-02T03:00:00Z,13.615
2018-01-02T03:30:00Z,13.7450008
2018-01-02T04:00:00Z,13.79
2018-01-02T04:30:00Z,13.92
2018-01-02T05:00:00Z,13.895
2018-01-02T05:30:00Z,13.9249992
2018-01-02T06:00:00Z,13.95
2018-01-02T06:30:00Z,13.95
2018-01-02T07:00:00Z,13.945
2018-01-02T07:30:00Z,14
2018-01-02T08:00:00Z,14.05
2018-01-02T08:30:00Z,14.08
2018-01-02T09:00:00Z,14.1
2018-01-02T09:30:00Z,14.155
2018-01-02T10:00:00Z,14.1550007
2018-01-02T10:30:00Z,14.23
2018-01-02T11:00:00Z,14.305
2018-01-02T11:30:00Z,14.3
2018-01-02T12:00:00Z,14.3
2018-01-02T12:30:00Z,14.245
2018-01-02T13:00:00Z,14.175
2018-01-02T13:30:00Z,14.0499992
2018-01-02T14:00:00Z,14
2018-01-02T14:30:00Z,13.87
2018-01-02T15:00:00Z,13.82
2018-01-02T15:30:00Z,13.74
2018-01-02T16:00:00Z,13.67
2018-01-02T16:30:00Z,13.54
2018-01-02T17:00:00Z,13.54
2018-01-02T17:30:00Z,13.445
2018-01-02T18:00:00Z,13.2649994
2018-01-02T18:30:00Z,13.29
2018-01-02T19:00:00Z,13.195
2018-01-02T19:30:00Z,13.1399994
2018-01-02T20:00:00Z,13.085
2018-01-02T20:30:00Z,12.91
2018-01-02T21:00:00Z,12.91
2018-01-02T21:30:00Z,12.8600006
2018-01-02T22:00:00Z,12.885
2018-01-02T22:30:00Z,12.8600006
2018-01-02T23:00:00Z,12.885
2018-01-02T23:30:00Z,12.84
2018-01-03T00:00:00Z,12.8099995
2018-01-03T00:30:00Z,12.8099995
2018-01-03T01:00:00Z,12.8099995
2018-01-03T01:30:00Z,12.8099995
2018-01-03T02:00:00Z,12.9850006
2018-01-03T02:30:00Z,13.215
2018-01-03T03:00:00Z,13.4150009
2018-01-03T03:30:00Z,13.5650005
2018-01-03T04:00:00Z,13.67
2018-01-03T04:30:00Z,13.745
2018-01-03T05:00:00Z,13.8150005
2018-01-03T05:30:00Z,13.8150005
2018-01-03T06:00:00Z,13.8449993
2018-01-03T06:30:00Z,13.98
2018-01-03T07:00:00Z,13.975
2018-01-03T07:30:00Z,14.055
2018-01-03T08:00:00Z,14.055
2018-01-03T08:30:00Z,14.08
2018-01-03T09:00:00Z,14.13
2018-01-03T09:30:00Z,14.13
2018-01-03T10:00:00Z,14.1900005
2018-01-03T10:30:00Z,14.1900005
2018-01-03T11:00:00Z,14.275
2018-01-03T11:30:00Z,14.355
2018-01-03T12:00:00Z,14.475
2018-01-03T12:30:00Z,14.4
2018-01-03T13:00:00Z,14.18
2018-01-03T13:30:00Z,13.975
2018-01-03T14:00:00Z,13.8449993
2018-01-03T14:30:00Z,13.79
2018-01-03T15:00:00Z,13.6200008
2018-01-03T15:30:00Z,13.49
2018-01-03T16:00:00Z,13.41
2018-01-03T16:30:00Z,13.33
2018-01-03T17:00:00Z,13.2350006
2018-01-03T17:30:00Z,13.3150005
2018-01-03T18:00:00Z,13.34
2018-01-03T18:30:00Z,13.2350006
2018-01-03T19:00:00Z,13.255
2018-01-03T19:30:00Z,13.26
2018-01-03T20:00:00Z,13.4763155
2018-01-03T20:30:00Z,13.4352627
2018-01-03T21:00:00Z,13.4178944
2018-01-03T21:30:00Z,13.37579
2018-01-03T22:00:00Z,13.4271059
2018-01-03T22:30:00Z,13.415
2018-01-03T23:00:00Z,13.3771057
2018-01-03T23:30:00Z,13.3615789
2018-01-04T00:00:00Z,13.29079
2018-01-04T00:30:00Z,13.3099995
2018-01-04T01:00:00Z,13.2836847
2018-01-04T01:30:00Z,13.3542109
2018-01-04T02:00:00Z,13.5228939
2018-01-04T02:30:00Z,13.65579
2018-01-04T03:00:00Z,13.84
2018-01-04T03:30:00Z,13.9486837
2018-01-04T04:00:00Z,14.0378942
2018-01-04T04:30:00Z,14.0828943
2018-01-04T05:00:00Z,14.15
2018-01-04T05:30:00Z,14.2686844
2018-01-04T06:00:00Z,14.3284206
2018-01-04T06:30:00Z,14.3828945
2018-01-04T07:00:00Z,14.4923687
2018-01-04T07:30:00Z,14.559474
2018-01-04T08:00:00Z,14.6818419
2018-01-04T08:30:00Z,14.7552624
2018-01-04T09:00:00Z,14.86
2018-01-04T09:30:00Z,14.9473686
2018-01-04T10:00:00Z,15.0792112
2018-01-04T10:30:00Z,15.135
2018-01-04T11:00:00Z,15.1849995
2018-01-04T11:30:00Z,15.2223682
2018-01-04T12:00:00Z,15.3586836
