dt,value
2018-01-01T04:00:00Z,82.4
2018-01-01T04:30:00Z,81.2
2018-01-01T05:00:00Z,81.4
2018-01-01T05:30:00Z,81.9
2018-01-01T06:00:00Z,82.5
2018-01-01T06:30:00Z,82.7
2018-01-01T07:00:00Z,82.5
2018-01-01T07:30:00Z,83
2018-01-01T08:00:00Z,83.3
2018-01-01T08:30:00Z,83.6
2018-01-01T09:00:00Z,84.2
2018-01-01T09:30:00Z,84.8
2018-01-01T10:00:00Z,84.6
2018-01-01T10:30:00Z,83.8
2018-01-01T11:00:00Z,82.8
2018-01-01T11:30:00Z,82.6
2018-01-01T12:00:00Z,82.3
2018-01-01T12:30:00Z,82.1
2018-01-01T13:00:00Z,82.3
2018-01-01T13:30:00Z,81.7
2018-01-01T14:00:00Z,81.5
2018-01-01T14:30:00Z,79.8
2018-01-01T15:00:00Z,78.6
2018-01-01T15:30:00Z,76.8
2018-01-01T16:00:00Z,77.2
2018-01-01T16:30:00Z,75.3
2018-01-01T17:00:00Z,74.8
2018-01-01T17:30:00Z,76
2018-01-01T18:00:00Z,74.3
2018-01-01T18:30:00Z,73.7
2018-01-01T19:00:00Z,72.3
2018-01-01T19:30:00Z,75.2
2018-01-01T20:00:00Z,80.4
2018-01-01T20:30:00Z,75.2
2018-01-01T21:00:00Z,70.4
2018-01-01T21:30:00Z,68.9
2018-01-01T22:00:00Z,69.4
2018-01-01T22:30:00Z,73.7
2018-01-01T23:00:00Z,76.6
2018-01-01T23:30:00Z,67.8
2018-01-02T00:00:00Z,66.5
2018-01-02T00:30:00Z,67.7
2018-01-02T01:00:00Z,67.3
2018-01-02T01:30:00Z,68
2018-01-02T02:00:00Z,68.9
2018-01-02T02:30:00Z,69.7
2018-01-02T03:00:00Z,70.8
2018-01-02T03:30:00Z,71.5
2018-01-02T04:00:00Z,73.7
2018-01-02T04:30:00Z,73.8
2018-01-02T05:00:00Z,73.2
2018-01-02T05:30:00Z,72.7
2018-01-02T06:00:00Z,73.5
2018-01-02T06:30:00Z,73.8
2018-01-02T07:00:00Z,72.9
2018-01-02T07:30:00Z,72.8
2018-01-02T08:00:00Z,74.5
2018-01-02T08:30:00Z,77.5
2018-01-02T09:00:00Z,76.5
2018-01-02T09:30:00Z,76.4
2018-01-02T10:00:00Z,75.6
2018-01-02T10:30:00Z,75.6
2018-01-02T11:00:00Z,76
2018-01-02T11:30:00Z,76.2
2018-01-02T12:00:00Z,76.2
2018-01-02T12:30:00Z,76.9
2018-01-02T13:00:00Z,77.6
2018-01-02T13:30:00Z,76.8
2018-01-02T14:00:00Z,77.9
2018-01-02T14:30:00Z,77.8
2018-01-02T15:00:00Z,75
2018-01-02T15:30:00Z,75.1
2018-01-02T16:00:00Z,74.9
2018-01-02T16:30:00Z,73.6
2018-01-02T17:00:00Z,71.3
2018-01-02T17:30:00Z,70.1
2018-01-02T18:00:00Z,68.2
2018-01-02T18:30:00Z,65.6
2018-01-02T19:00:00Z,64.9
2018-01-02T19:30:00Z,63.2
2018-01-02T20:00:00Z,63.1
2018-01-02T20:30:00Z,61
2018-01-02T21:00:00Z,60.8
2018-01-02T21:30:00Z,61.5
2018-01-02T22:00:00Z,61.7
2018-01-02T22:30:00Z,62.3
2018-01-02T23:00:00Z,64.2
2018-01-02T23:30:00Z,65.4
2018-01-03T00:00:00Z,66.2
2018-01-03T00:30:00Z,66.9
2018-01-03T01:00:00Z,67.9
2018-01-03T01:30:00Z,68.5
2018-01-03T02:00:00Z,69
2018-01-03T02:30:00Z,69.6
2018-01-03T03:00:00Z,70.3
2018-01-03T03:30:00Z,71
2018-01-03T04:00:00Z,71.9
2018-01-03T04:30:00Z,72.1
2018-01-03T05:00:00Z,72.3
2018-01-03T05:30:00Z,72.8
2018-01-03T06:00:00Z,73.4
2018-01-03T06:30:00Z,74
2018-01-03T07:00:00Z,74.2
2018-01-03T07:30:00Z,74.3
2018-01-03T08:00:00Z,74.7
2018-01-03T08:30:00Z,74.5
2018-01-03T09:00:00Z,75.6
2018-01-03T09:30:00Z,77
2018-01-03T10:00:00Z,76.5
2018-01-03T10:30:00Z,76.3
2018-01-03T11:00:00Z,76.6
2018-01-03T11:30:00Z,76.6
2018-01-03T12:00:00Z,76.6
2018-01-03T12:30:00Z,75.9
2018-01-03T13:00:00Z,76.4
2018-01-03T13:30:00Z,74.3
2018-01-03T14:00:00Z,70.9
2018-01-03T14:30:00Z,67.2
2018-01-03T15:00:00Z,62.4
2018-01-03T15:30:00Z,59.2
2018-01-03T16:00:00Z,56.3
2018-01-03T16:30:00Z,53.1
2018-01-03T17:00:00Z,51.3
2018-01-03T17:30:00Z,46.8
2018-01-03T18:00:00Z,45.7
2018-01-03T18:30:00Z,44.5
2018-01-03T19:00:00Z,43.2
2018-01-03T19:30:00Z,43.6
2018-01-03T20:00:00Z,43.9
2018-01-03T20:30:00Z,42.8
2018-01-03T21:00:00Z,41
2018-01-03T21:30:00Z,41.5833321
2018-01-03T22:00:00Z,43.3
2018-01-03T22:30:00Z,43.8
2018-01-03T23:00:00Z,44.7
2018-01-03T23:30:00Z,46
2018-01-04T00:00:00Z,47.3
2018-01-04T00:30:00Z,46.2
2018-01-04T01:00:00Z,46
2018-01-04T01:30:00Z,44.9
2018-01-04T02:00:00Z,46.2
2018-01-04T02:30:00Z,48.6
