dt,value
2018-01-01T04:00:00Z,11.16
2018-01-01T04:30:00Z,10.9
2018-01-01T05:00:00Z,10.25
2018-01-01T05:30:00Z,9.78
2018-01-01T06:00:00Z,9.38
2018-01-01T06:30:00Z,8.85
2018-01-01T07:00:00Z,8.31
2018-01-01T07:30:00Z,8.03
2018-01-01T08:00:00Z,7.49
2018-01-01T08:30:00Z,6.86
2018-01-01T09:00:00Z,6.79
2018-01-01T09:30:00Z,6.44
2018-01-01T10:00:00Z,6.23
2018-01-01T10:30:00Z,6.09
2018-01-01T11:00:00Z,5.88
2018-01-01T11:30:00Z,6.09
2018-01-01T12:00:00Z,6.3
2018-01-01T12:30:00Z,5.53
2018-01-01T13:00:00Z,6.3
2018-01-01T13:30:00Z,5.6
2018-01-01T14:00:00Z,5.67
2018-01-01T14:30:00Z,7.97
2018-01-01T15:00:00Z,8.17
2018-01-01T15:30:00Z,12.26
2018-01-01T16:00:00Z,11.68
2018-01-01T16:30:00Z,12.26
2018-01-01T17:00:00Z,13.46
2018-01-01T17:30:00Z,11.87
2018-01-01T18:00:00Z,12.95
2018-01-01T18:30:00Z,12.26
2018-01-01T19:00:00Z,12.32
2018-01-01T19:30:00Z,12
2018-01-01T20:00:00Z,11.55
2018-01-01T20:30:00Z,10.97
2018-01-01T21:00:00Z,10.44
2018-01-01T21:30:00Z,10.64
2018-01-01T22:00:00Z,10.44
2018-01-01T22:30:00Z,10.9
2018-01-01T23:00:00Z,10.25
2018-01-01T23:30:00Z,9.98
2018-01-02T00:00:00Z,9.78
2018-01-02T00:30:00Z,9.45
2018-01-02T01:00:00Z,8.98
2018-01-02T01:30:00Z,8.51
2018-01-02T02:00:00Z,8.17
2018-01-02T02:30:00Z,8.31
2018-01-02T03:00:00Z,8.78
2018-01-02T03:30:00Z,8.64
2018-01-02T04:00:00Z,8.98
2018-01-02T04:30:00Z,8.78
2018-01-02T05:00:00Z,8.85
2018-01-02T05:30:00Z,8.91
2018-01-02T06:00:00Z,8.51
2018-01-02T06:30:00Z,8.58
2018-01-02T07:00:00Z,8.85
2018-01-02T07:30:00Z,8.91
2018-01-02T08:00:00Z,8.31
2018-01-02T08:30:00Z,8.24
2018-01-02T09:00:00Z,8.24
2018-01-02T09:30:00Z,8.44
2018-01-02T10:00:00Z,8.24
2018-01-02T10:30:00Z,8.58
2018-01-02T11:00:00Z,7.9
2018-01-02T11:30:00Z,8.03
2018-01-02T12:00:00Z,7.97
2018-01-02T12:30:00Z,7.55
2018-01-02T13:00:00Z,7.62
2018-01-02T13:30:00Z,8.03
2018-01-02T14:00:00Z,8.58
2018-01-02T14:30:00Z,8.03
2018-01-02T15:00:00Z,7.76
2018-01-02T15:30:00Z,8.78
2018-01-02T16:00:00Z,8.91
2018-01-02T16:30:00Z,8.91
2018-01-02T17:00:00Z,11.68
2018-01-02T17:30:00Z,10.84
2018-01-02T18:00:00Z,12.32
2018-01-02T18:30:00Z,12.06
2018-01-02T19:00:00Z,13.02
2018-01-02T19:30:00Z,14.33
2018-01-02T20:00:00Z,15.86
2018-01-02T20:30:00Z,14.64
2018-01-02T21:00:00Z,15.74
2018-01-02T21:30:00Z,14.7
2018-01-02T22:00:00Z,14.27
2018-01-02T22:30:00Z,13.9
2018-01-02T23:00:00Z,13.21
2018-01-02T23:30:00Z,12.57
2018-01-03T00:00:00Z,12.13
2018-01-03T00:30:00Z,11.74
2018-01-03T01:00:00Z,11.29
2018-01-03T01:30:00Z,11.29
2018-01-03T02:00:00Z,10.64
2018-01-03T02:30:00Z,10.31
2018-01-03T03:00:00Z,10.25
2018-01-03T03:30:00Z,9.45
2018-01-03T04:00:00Z,8.98
2018-01-03T04:30:00Z,8.85
2018-01-03T05:00:00Z,8.78
2018-01-03T05:30:00Z,8.58
2018-01-03T06:00:00Z,8.17
2018-01-03T06:30:00Z,7.42
2018-01-03T07:00:00Z,7.28
2018-01-03T07:30:00Z,7.49
2018-01-03T08:00:00Z,7.14
2018-01-03T08:30:00Z,7.07
2018-01-03T09:00:00Z,6.65
2018-01-03T09:30:00Z,6.58
2018-01-03T10:00:00Z,6.93
2018-01-03T10:30:00Z,6.23
2018-01-03T11:00:00Z,6.09
2018-01-03T11:30:00Z,6.44
2018-01-03T12:00:00Z,6.23
2018-01-03T12:30:00Z,6.93
2018-01-03T13:00:00Z,6.79
2018-01-03T13:30:00Z,8.85
2018-01-03T14:00:00Z,10.97
2018-01-03T14:30:00Z,12.83
2018-01-03T15:00:00Z,15.44
2018-01-03T15:30:00Z,16.89
2018-01-03T16:00:00Z,18.48
2018-01-03T16:30:00Z,19.41
2018-01-03T17:00:00Z,21.58
2018-01-03T17:30:00Z,21.86
2018-01-03T18:00:00Z,23.68
2018-01-03T18:30:00Z,23.52
2018-01-03T19:00:00Z,24.39
2018-01-03T19:30:00Z,25.31
2018-01-03T20:00:00Z,24.82
2018-01-03T20:30:00Z,25.15
2018-01-03T21:00:00Z,25.47
2018-01-03T21:30:00Z,24.876667
2018-01-03T22:00:00Z,24.66
2018-01-03T22:30:00Z,24.12
2018-01-03T23:00:00Z,23.41
2018-01-03T23:30:00Z,23.24
2018-01-04T00:00:00Z,22.91
2018-01-04T00:30:00Z,22.75
2018-01-04T01:00:00Z,21.86
2018-01-04T01:30:00Z,21.52
2018-01-04T02:00:00Z,21.07
2018-01-04T02:30:00Z,20.56
2018-01-04T03:00:00Z,20.1657143
2018-01-04T03:30:00Z,20.5
2018-01-04T04:00:00Z,19.87
2018-01-04T04:30:00Z,20.27
2018-01-04T05:00:00Z,20.1
2018-01-04T05:30:00Z,19.87
